Recipe Name,Ingredients,Main Vegetable,Cuisine,Cooking Method
zucchini Bake,"bake zucchini, garlic, potato, lemongrass, chili",zucchini,Thai,bake
garlic Stir Fry,"stir fry garlic, potato, lemon, garlic",garlic,Mediterranean,stir fry
eggplant Soup,"soup eggplant, cabbage, chili, spring onion",eggplant,Chinese,soup
peas Boil,"boil peas, cabbage, tomato, garlic, cream",peas,French,boil
onion Bake,"bake onion, potato, cauliflower, garlic, ginger",onion,Chinese,bake
tomato Roast,"roast tomato, peas, herbs, tomato",tomato,Mediterranean,roast
bell pepper Roast,"roast bell pepper, cauliflower, garlic, salsa, cheddar",bell pepper,Mexican,roast
bell pepper Saute,"saute bell pepper, potato, garam masala, chili",bell pepper,Indian,saute
tomato Saute,"saute tomato, cabbage, broccoli, onion, olive oil",tomato,French,saute
cauliflower Saute,"saute cauliflower, onion, mushroom, potato, onion, butter",cauliflower,American,saute
tomato Grill,"grill tomato, eggplant, mozzarella, parmesan",tomato,Italian,grill
carrot Saute,"saute carrot, spinach, bell pepper, butter, olive oil",carrot,French,saute
onion Roast,"roast onion, broccoli, bell pepper, spinach, mozzarella, olive oil",onion,Italian,roast
zucchini Roast,"roast zucchini, onion, cabbage, chili, garlic",zucchini,Thai,roast
tomato Soup,"soup tomato, broccoli, mushroom, bell pepper, soy sauce, ginger",tomato,Chinese,soup
garlic Soup,"soup garlic, peas, cream, butter",garlic,French,soup
cauliflower Bake,"bake cauliflower, zucchini, mushroom, garlic, cumin, ginger",cauliflower,Indian,bake
tomato Stir Fry,"stir fry tomato, spinach, fish sauce, chili",tomato,Thai,stir fry
garlic Boil,"boil garlic, potato, carrot, eggplant, basil, olive oil",garlic,Italian,boil
peas Bake,"bake peas, potato, garlic, spring onion",peas,Chinese,bake
broccoli Roast,"roast broccoli, mushroom, peas, zucchini, lemon, feta",broccoli,Mediterranean,roast
eggplant Bake,"bake eggplant, garlic, garlic, chili",eggplant,Chinese,bake
cauliflower Stir Fry,"stir fry cauliflower, onion, tomato, olive oil, tomato",cauliflower,Mediterranean,stir fry
zucchini Roast,"roast zucchini, bell pepper, spinach, cheddar, beans",zucchini,Mexican,roast
carrot Roast,"roast carrot, broccoli, eggplant, cauliflower, herbs, olive oil",carrot,Mediterranean,roast
cabbage Soup,"soup cabbage, garlic, spinach, bell pepper, garlic, thyme",cabbage,French,soup
garlic Boil,"boil garlic, carrot, potato, spinach, onion, garlic",garlic,French,boil
bell pepper Roast,"roast bell pepper, zucchini, cauliflower, mushroom, butter, onion",bell pepper,French,roast
spinach Roast,"roast spinach, broccoli, chili, garlic",spinach,Thai,roast
carrot Saute,"saute carrot, eggplant, cabbage, broccoli, olive oil, mozzarella",carrot,Italian,saute
carrot Soup,"soup carrot, mushroom, feta, lemon",carrot,Mediterranean,soup
zucchini Bake,"bake zucchini, spinach, eggplant, cheddar, onion",zucchini,American,bake
bell pepper Soup,"soup bell pepper, spinach, chili, fish sauce",bell pepper,Thai,soup
garlic Boil,"boil garlic, peas, fish sauce, lemongrass",garlic,Thai,boil
mushroom Bake,"bake mushroom, zucchini, coconut milk, ginger",mushroom,Thai,bake
broccoli Bake,"bake broccoli, spinach, carrot, garlic, avocado, corn",broccoli,Mexican,bake
mushroom Boil,"boil mushroom, carrot, tomato, tomato, onion",mushroom,American,boil
peas Curry,"curry peas, zucchini, olive oil, mozzarella",peas,Italian,curry
potato Soup,"soup potato, bell pepper, cabbage, garlic, cream",potato,French,soup
peas Boil,"boil peas, bell pepper, onion, avocado, beans",peas,Mexican,boil
onion Saute,"saute onion, spinach, garlic, ginger",onion,Chinese,saute
onion Bake,"bake onion, cabbage, bell pepper, salsa, avocado",onion,Mexican,bake
zucchini Curry,"curry zucchini, onion, garam masala, turmeric",zucchini,Indian,curry
tomato Boil,"boil tomato, eggplant, mushroom, garlic, garam masala, turmeric",tomato,Indian,boil
garlic Stir Fry,"stir fry garlic, potato, ginger, soy sauce",garlic,Chinese,stir fry
zucchini Stir Fry,"stir fry zucchini, broccoli, cauliflower, mushroom, coriander, ginger",zucchini,Indian,stir fry
spinach Boil,"boil spinach, eggplant, basil, olive oil",spinach,Italian,boil
bell pepper Grill,"grill bell pepper, cauliflower, cheddar, avocado",bell pepper,Mexican,grill
broccoli Soup,"soup broccoli, potato, cabbage, carrot, olive oil, thyme",broccoli,French,soup
broccoli Roast,"roast broccoli, mushroom, basil, tomato sauce",broccoli,Italian,roast
onion Curry,"curry onion, eggplant, cauliflower, broccoli, chili, coriander",onion,Indian,curry
garlic Boil,"boil garlic, potato, tomato, broccoli, garlic, chili",garlic,Thai,boil
carrot Stir Fry,"stir fry carrot, mushroom, broccoli, bell pepper, herbs, feta",carrot,Mediterranean,stir fry
zucchini Grill,"grill zucchini, eggplant, carrot, herbs, lemon",zucchini,Mediterranean,grill
mushroom Saute,"saute mushroom, peas, cauliflower, garlic, beans, avocado",mushroom,Mexican,saute
spinach Roast,"roast spinach, mushroom, peas, cheddar, bacon",spinach,American,roast
cauliflower Bake,"bake cauliflower, eggplant, carrot, potato, chili, lemongrass",cauliflower,Thai,bake
bell pepper Soup,"soup bell pepper, carrot, broccoli, garlic, sesame oil, chili",bell pepper,Chinese,soup
tomato Boil,"boil tomato, zucchini, potato, cumin, garam masala",tomato,Indian,boil
spinach Stir Fry,"stir fry spinach, potato, sesame oil, chili",spinach,Chinese,stir fry
tomato Bake,"bake tomato, eggplant, broccoli, olive oil, tomato",tomato,Mediterranean,bake
cabbage Roast,"roast cabbage, spinach, zucchini, garlic, onion",cabbage,French,roast
potato Stir Fry,"stir fry potato, cabbage, peas, butter, onion",potato,American,stir fry
mushroom Saute,"saute mushroom, garlic, onion, cauliflower, garam masala, cumin",mushroom,Indian,saute
cauliflower Bake,"bake cauliflower, spinach, zucchini, bell pepper, coconut milk, lemongrass",cauliflower,Thai,bake
cauliflower Saute,"saute cauliflower, spinach, garlic, corn, salsa",cauliflower,Mexican,saute
bell pepper Curry,"curry bell pepper, carrot, broccoli, cabbage, tomato, garlic",bell pepper,Mediterranean,curry
cabbage Boil,"boil cabbage, garlic, tomato, cauliflower, garlic, chili",cabbage,Chinese,boil
mushroom Boil,"boil mushroom, eggplant, salsa, corn",mushroom,Mexican,boil
zucchini Grill,"grill zucchini, carrot, oregano, olive oil",zucchini,Italian,grill
potato Curry,"curry potato, spinach, olive oil, mozzarella",potato,Italian,curry
cauliflower Bake,"bake cauliflower, potato, zucchini, ginger, chili",cauliflower,Thai,bake
eggplant Stir Fry,"stir fry eggplant, mushroom, carrot, spinach, cumin, coriander",eggplant,Indian,stir fry
cauliflower Stir Fry,"stir fry cauliflower, cabbage, mushroom, feta, garlic",cauliflower,Mediterranean,stir fry
tomato Curry,"curry tomato, peas, potato, cilantro, salsa",tomato,Mexican,curry
peas Boil,"boil peas, broccoli, spinach, mushroom, corn, cheddar",peas,Mexican,boil
peas Bake,"bake peas, zucchini, soy sauce, sesame oil",peas,Chinese,bake
tomato Bake,"bake tomato, cabbage, cauliflower, corn, salsa",tomato,Mexican,bake
cabbage Soup,"soup cabbage, tomato, olive oil, cream",cabbage,French,soup
cabbage Boil,"boil cabbage, bell pepper, potato, coconut milk, chili",cabbage,Thai,boil
carrot Grill,"grill carrot, cabbage, eggplant, cumin, turmeric",carrot,Indian,grill
zucchini Curry,"curry zucchini, broccoli, onion, butter",zucchini,American,curry
garlic Curry,"curry garlic, cauliflower, onion, spinach, lemon, tomato",garlic,Mediterranean,curry
broccoli Bake,"bake broccoli, eggplant, spinach, garlic, tomato sauce, oregano",broccoli,Italian,bake
carrot Soup,"soup carrot, bell pepper, potato, cauliflower, beans, salsa",carrot,Mexican,soup
bell pepper Stir Fry,"stir fry bell pepper, eggplant, garlic, butter",bell pepper,French,stir fry
eggplant Boil,"boil eggplant, tomato, cabbage, butter, olive oil",eggplant,French,boil
zucchini Bake,"bake zucchini, peas, spinach, broccoli, garlic, coconut milk",zucchini,Thai,bake
cauliflower Saute,"saute cauliflower, garlic, olive oil, parmesan",cauliflower,Italian,saute
carrot Soup,"soup carrot, garlic, zucchini, onion, ginger, garam masala",carrot,Indian,soup
carrot Stir Fry,"stir fry carrot, zucchini, cabbage, eggplant, sesame oil, soy sauce",carrot,Chinese,stir fry
peas Stir Fry,"stir fry peas, zucchini, bell pepper, cream, butter",peas,American,stir fry
mushroom Stir Fry,"stir fry mushroom, cabbage, zucchini, carrot, tomato sauce, mozzarella",mushroom,Italian,stir fry
tomato Roast,"roast tomato, carrot, bell pepper, broccoli, feta, lemon",tomato,Mediterranean,roast
zucchini Grill,"grill zucchini, tomato, carrot, cabbage, garlic, onion",zucchini,French,grill
onion Boil,"boil onion, potato, olive oil, garlic",onion,French,boil
cauliflower Bake,"bake cauliflower, spinach, garlic, eggplant, cream, garlic",cauliflower,French,bake
potato Saute,"saute potato, cabbage, broccoli, cream, cheddar",potato,American,saute
cauliflower Grill,"grill cauliflower, broccoli, potato, onion, basil, olive oil",cauliflower,Italian,grill
garlic Boil,"boil garlic, bell pepper, onion, coconut milk, fish sauce",garlic,Thai,boil
spinach Curry,"curry spinach, onion, cabbage, sesame oil, spring onion",spinach,Chinese,curry
broccoli Roast,"roast broccoli, eggplant, oregano, olive oil",broccoli,Italian,roast
broccoli Roast,"roast broccoli, eggplant, potato, beans, avocado",broccoli,Mexican,roast
garlic Bake,"bake garlic, potato, carrot, salsa, cilantro",garlic,Mexican,bake
cauliflower Grill,"grill cauliflower, onion, eggplant, broccoli, chili, coconut milk",cauliflower,Thai,grill
eggplant Boil,"boil eggplant, potato, butter, thyme",eggplant,French,boil
mushroom Curry,"curry mushroom, peas, olive oil, tomato sauce",mushroom,Italian,curry
zucchini Roast,"roast zucchini, garlic, peas, carrot, garlic, lemon",zucchini,Mediterranean,roast
cabbage Curry,"curry cabbage, eggplant, feta, herbs",cabbage,Mediterranean,curry
tomato Saute,"saute tomato, spinach, carrot, garlic, chili",tomato,Chinese,saute
bell pepper Saute,"saute bell pepper, cabbage, ginger, turmeric",bell pepper,Indian,saute
spinach Soup,"soup spinach, broccoli, peas, onion, garlic, sesame oil",spinach,Chinese,soup
broccoli Roast,"roast broccoli, cauliflower, garlic, tomato, thyme, butter",broccoli,French,roast
carrot Stir Fry,"stir fry carrot, peas, spinach, onion, olive oil",carrot,French,stir fry
spinach Grill,"grill spinach, eggplant, peas, broccoli, tomato sauce, basil",spinach,Italian,grill
potato Soup,"soup potato, peas, carrot, garam masala, turmeric",potato,Indian,soup
tomato Saute,"saute tomato, garlic, tomato sauce, oregano",tomato,Italian,saute
cauliflower Bake,"bake cauliflower, onion, onion, tomato",cauliflower,American,bake
onion Bake,"bake onion, mushroom, cauliflower, chili, spring onion",onion,Chinese,bake
bell pepper Boil,"boil bell pepper, mushroom, spinach, cheddar, onion",bell pepper,American,boil
zucchini Curry,"curry zucchini, tomato, cheddar, cream",zucchini,American,curry
tomato Soup,"soup tomato, broccoli, zucchini, bell pepper, olive oil, basil",tomato,Italian,soup
bell pepper Bake,"bake bell pepper, garlic, zucchini, broccoli, bacon, butter",bell pepper,American,bake
cauliflower Curry,"curry cauliflower, bell pepper, peas, cumin, turmeric",cauliflower,Indian,curry
eggplant Boil,"boil eggplant, cauliflower, herbs, lemon",eggplant,Mediterranean,boil
bell pepper Stir Fry,"stir fry bell pepper, peas, garlic, olive oil",bell pepper,Mediterranean,stir fry
peas Soup,"soup peas, potato, fish sauce, garlic",peas,Thai,soup
potato Bake,"bake potato, tomato, cauliflower, lemongrass, chili",potato,Thai,bake
cauliflower Grill,"grill cauliflower, eggplant, peas, zucchini, thyme, cream",cauliflower,French,grill
eggplant Saute,"saute eggplant, spinach, coconut milk, chili",eggplant,Thai,saute
eggplant Stir Fry,"stir fry eggplant, onion, potato, turmeric, coriander",eggplant,Indian,stir fry
peas Grill,"grill peas, eggplant, spinach, turmeric, ginger",peas,Indian,grill
zucchini Saute,"saute zucchini, carrot, tomato, chili, soy sauce",zucchini,Chinese,saute
eggplant Stir Fry,"stir fry eggplant, spinach, cauliflower, coriander, ginger",eggplant,Indian,stir fry
bell pepper Roast,"roast bell pepper, eggplant, ginger, garlic",bell pepper,Thai,roast
bell pepper Roast,"roast bell pepper, potato, mushroom, butter, bacon",bell pepper,American,roast
potato Grill,"grill potato, spinach, chili, spring onion",potato,Chinese,grill
carrot Saute,"saute carrot, mushroom, cumin, turmeric",carrot,Indian,saute
spinach Curry,"curry spinach, tomato, cabbage, olive oil, garlic",spinach,Mediterranean,curry
zucchini Roast,"roast zucchini, spinach, carrot, garlic, ginger",zucchini,Chinese,roast
bell pepper Grill,"grill bell pepper, broccoli, carrot, onion, corn, salsa",bell pepper,Mexican,grill
garlic Boil,"boil garlic, cauliflower, tomato, garlic, butter",garlic,French,boil
cabbage Stir Fry,"stir fry cabbage, eggplant, butter, tomato",cabbage,American,stir fry
carrot Bake,"bake carrot, zucchini, eggplant, butter, cream",carrot,American,bake
broccoli Roast,"roast broccoli, peas, eggplant, potato, butter, thyme",broccoli,French,roast
carrot Boil,"boil carrot, tomato, fish sauce, lemongrass",carrot,Thai,boil
tomato Bake,"bake tomato, onion, eggplant, olive oil, garlic",tomato,French,bake
onion Saute,"saute onion, tomato, broccoli, potato, mozzarella, basil",onion,Italian,saute
onion Curry,"curry onion, broccoli, potato, cabbage, cream, butter",onion,American,curry
cauliflower Curry,"curry cauliflower, onion, tomato sauce, parmesan",cauliflower,Italian,curry
tomato Curry,"curry tomato, peas, cauliflower, zucchini, olive oil, tomato sauce",tomato,Italian,curry
mushroom Saute,"saute mushroom, broccoli, zucchini, herbs, tomato",mushroom,Mediterranean,saute
mushroom Grill,"grill mushroom, broccoli, onion, eggplant, ginger, chili",mushroom,Thai,grill
broccoli Bake,"bake broccoli, carrot, garlic, cream",broccoli,French,bake
bell pepper Roast,"roast bell pepper, zucchini, cauliflower, potato, corn, avocado",bell pepper,Mexican,roast
zucchini Saute,"saute zucchini, broccoli, garlic, chili, sesame oil",zucchini,Chinese,saute
carrot Bake,"bake carrot, peas, spring onion, soy sauce",carrot,Chinese,bake
garlic Stir Fry,"stir fry garlic, cauliflower, bell pepper, feta, garlic",garlic,Mediterranean,stir fry
broccoli Saute,"saute broccoli, mushroom, spinach, coriander, chili",broccoli,Indian,saute
garlic Bake,"bake garlic, bell pepper, olive oil, herbs",garlic,Mediterranean,bake
cauliflower Grill,"grill cauliflower, garlic, broccoli, potato, garlic, chili",cauliflower,Chinese,grill
garlic Roast,"roast garlic, onion, salsa, beans",garlic,Mexican,roast
eggplant Bake,"bake eggplant, onion, potato, ginger, lemongrass",eggplant,Thai,bake
bell pepper Boil,"boil bell pepper, peas, onion, mushroom, cumin, chili",bell pepper,Indian,boil
spinach Saute,"saute spinach, cauliflower, bell pepper, butter, cheddar",spinach,American,saute
cauliflower Soup,"soup cauliflower, zucchini, peas, tomato, thyme, olive oil",cauliflower,French,soup
potato Soup,"soup potato, zucchini, carrot, garlic, lemongrass, coconut milk",potato,Thai,soup
garlic Boil,"boil garlic, peas, broccoli, chili, turmeric",garlic,Indian,boil
eggplant Soup,"soup eggplant, zucchini, bell pepper, beans, cheddar",eggplant,Mexican,soup
tomato Saute,"saute tomato, carrot, cauliflower, zucchini, basil, tomato sauce",tomato,Italian,saute
cauliflower Stir Fry,"stir fry cauliflower, garlic, garlic, onion",cauliflower,French,stir fry
carrot Stir Fry,"stir fry carrot, spinach, lemon, tomato",carrot,Mediterranean,stir fry
carrot Boil,"boil carrot, tomato, cabbage, coconut milk, ginger",carrot,Thai,boil
onion Boil,"boil onion, tomato, bell pepper, turmeric, garam masala",onion,Indian,boil
eggplant Grill,"grill eggplant, bell pepper, potato, cabbage, cheddar, avocado",eggplant,Mexican,grill
onion Bake,"bake onion, broccoli, zucchini, coconut milk, garlic",onion,Thai,bake
tomato Boil,"boil tomato, eggplant, cauliflower, carrot, butter, garlic",tomato,French,boil
cauliflower Stir Fry,"stir fry cauliflower, onion, olive oil, garlic",cauliflower,French,stir fry
mushroom Soup,"soup mushroom, potato, peas, chili, garlic",mushroom,Thai,soup
onion Curry,"curry onion, garlic, carrot, eggplant, lemongrass, garlic",onion,Thai,curry
carrot Curry,"curry carrot, cabbage, onion, cream, onion",carrot,French,curry
cabbage Roast,"roast cabbage, onion, mushroom, cream, garlic",cabbage,French,roast
cabbage Soup,"soup cabbage, mushroom, broccoli, peas, lemon, tomato",cabbage,Mediterranean,soup
peas Boil,"boil peas, potato, tomato, cauliflower, spring onion, soy sauce",peas,Chinese,boil
peas Curry,"curry peas, eggplant, tomato, onion, salsa, corn",peas,Mexican,curry
broccoli Stir Fry,"stir fry broccoli, bell pepper, tomato, carrot, sesame oil, soy sauce",broccoli,Chinese,stir fry
peas Roast,"roast peas, garlic, zucchini, bell pepper, mozzarella, tomato sauce",peas,Italian,roast
mushroom Soup,"soup mushroom, onion, potato, bell pepper, ginger, chili",mushroom,Chinese,soup
potato Roast,"roast potato, broccoli, tomato, cauliflower, feta, tomato",potato,Mediterranean,roast
potato Soup,"soup potato, spinach, carrot, tomato, garlic, feta",potato,Mediterranean,soup
eggplant Soup,"soup eggplant, peas, spinach, bell pepper, parmesan, basil",eggplant,Italian,soup
onion Curry,"curry onion, peas, broccoli, olive oil, thyme",onion,French,curry
garlic Roast,"roast garlic, carrot, onion, tomato, olive oil",garlic,Mediterranean,roast
bell pepper Boil,"boil bell pepper, tomato, cilantro, corn",bell pepper,Mexican,boil
broccoli Roast,"roast broccoli, bell pepper, mushroom, chili, lemongrass",broccoli,Thai,roast
cabbage Stir Fry,"stir fry cabbage, mushroom, bell pepper, garam masala, ginger",cabbage,Indian,stir fry
mushroom Boil,"boil mushroom, garlic, bacon, onion",mushroom,American,boil
zucchini Soup,"soup zucchini, cabbage, coriander, ginger",zucchini,Indian,soup
cauliflower Grill,"grill cauliflower, peas, potato, garlic, thyme",cauliflower,French,grill
cauliflower Bake,"bake cauliflower, garlic, cream, cheddar",cauliflower,American,bake
peas Curry,"curry peas, carrot, garlic, eggplant, cream, onion",peas,French,curry
cabbage Saute,"saute cabbage, potato, peas, coconut milk, lemongrass",cabbage,Thai,saute
mushroom Boil,"boil mushroom, eggplant, bell pepper, garlic, spring onion",mushroom,Chinese,boil
potato Roast,"roast potato, peas, bell pepper, garlic, fish sauce",potato,Thai,roast
potato Curry,"curry potato, bell pepper, zucchini, coriander, ginger",potato,Indian,curry
broccoli Saute,"saute broccoli, garlic, olive oil, garlic",broccoli,French,saute
onion Bake,"bake onion, broccoli, carrot, cabbage, olive oil, garlic",onion,French,bake
tomato Soup,"soup tomato, peas, cabbage, broccoli, turmeric, garam masala",tomato,Indian,soup
onion Stir Fry,"stir fry onion, peas, spinach, zucchini, garlic, herbs",onion,Mediterranean,stir fry
cauliflower Saute,"saute cauliflower, cabbage, potato, peas, beans, cilantro",cauliflower,Mexican,saute
broccoli Stir Fry,"stir fry broccoli, spinach, garlic, eggplant, cilantro, beans",broccoli,Mexican,stir fry
broccoli Stir Fry,"stir fry broccoli, tomato, carrot, bell pepper, chili, ginger",broccoli,Thai,stir fry
carrot Boil,"boil carrot, broccoli, potato, bell pepper, beans, salsa",carrot,Mexican,boil
cauliflower Boil,"boil cauliflower, bell pepper, ginger, fish sauce",cauliflower,Thai,boil
bell pepper Curry,"curry bell pepper, broccoli, peas, eggplant, turmeric, cumin",bell pepper,Indian,curry
zucchini Grill,"grill zucchini, onion, basil, mozzarella",zucchini,Italian,grill
mushroom Saute,"saute mushroom, eggplant, cheddar, cilantro",mushroom,Mexican,saute
spinach Boil,"boil spinach, cabbage, mozzarella, oregano",spinach,Italian,boil
bell pepper Soup,"soup bell pepper, spinach, onion, cabbage, ginger, cumin",bell pepper,Indian,soup
zucchini Curry,"curry zucchini, broccoli, cilantro, corn",zucchini,Mexican,curry
zucchini Roast,"roast zucchini, mushroom, garlic, eggplant, ginger, chili",zucchini,Chinese,roast
bell pepper Bake,"bake bell pepper, mushroom, potato, tomato, garlic, olive oil",bell pepper,French,bake
broccoli Boil,"boil broccoli, potato, peas, tomato, tomato, lemon",broccoli,Mediterranean,boil
zucchini Saute,"saute zucchini, mushroom, tomato, olive oil",zucchini,Mediterranean,saute
cauliflower Boil,"boil cauliflower, bell pepper, carrot, onion, butter, thyme",cauliflower,French,boil
potato Soup,"soup potato, peas, onion, salsa, corn",potato,Mexican,soup
carrot Curry,"curry carrot, zucchini, tomato, peas, garlic, feta",carrot,Mediterranean,curry
carrot Stir Fry,"stir fry carrot, broccoli, cheddar, cilantro",carrot,Mexican,stir fry
garlic Bake,"bake garlic, eggplant, cauliflower, cabbage, chili, ginger",garlic,Chinese,bake
onion Roast,"roast onion, cauliflower, bell pepper, garlic, cream",onion,French,roast
zucchini Bake,"bake zucchini, cabbage, chili, fish sauce",zucchini,Thai,bake
carrot Boil,"boil carrot, mushroom, potato, salsa, beans",carrot,Mexican,boil
cauliflower Boil,"boil cauliflower, spinach, bell pepper, garam masala, turmeric",cauliflower,Indian,boil
tomato Roast,"roast tomato, zucchini, ginger, turmeric",tomato,Indian,roast
zucchini Curry,"curry zucchini, spinach, onion, onion, thyme",zucchini,French,curry
bell pepper Stir Fry,"stir fry bell pepper, mushroom, broccoli, eggplant, garlic, chili",bell pepper,Thai,stir fry
cabbage Boil,"boil cabbage, peas, corn, avocado",cabbage,Mexican,boil
potato Boil,"boil potato, bell pepper, cabbage, mushroom, mozzarella, tomato sauce",potato,Italian,boil
bell pepper Curry,"curry bell pepper, zucchini, garlic, eggplant, lemon, olive oil",bell pepper,Mediterranean,curry
carrot Saute,"saute carrot, spinach, zucchini, onion, soy sauce, ginger",carrot,Chinese,saute
spinach Roast,"roast spinach, garlic, potato, bell pepper, lemongrass, ginger",spinach,Thai,roast
zucchini Curry,"curry zucchini, spinach, carrot, cauliflower, garlic, lemongrass",zucchini,Thai,curry
potato Boil,"boil potato, mushroom, broccoli, ginger, chili",potato,Indian,boil
eggplant Grill,"grill eggplant, zucchini, garlic, coconut milk, garlic",eggplant,Thai,grill
tomato Bake,"bake tomato, cauliflower, cabbage, garlic, tomato, feta",tomato,Mediterranean,bake
carrot Roast,"roast carrot, bell pepper, cauliflower, coriander, garam masala",carrot,Indian,roast
garlic Boil,"boil garlic, bell pepper, potato, garlic, spring onion",garlic,Chinese,boil
eggplant Curry,"curry eggplant, cabbage, zucchini, mushroom, chili, coconut milk",eggplant,Thai,curry
zucchini Grill,"grill zucchini, mushroom, broccoli, chili, fish sauce",zucchini,Thai,grill
broccoli Boil,"boil broccoli, potato, bacon, cream",broccoli,American,boil
peas Grill,"grill peas, tomato, tomato sauce, oregano",peas,Italian,grill
mushroom Boil,"boil mushroom, peas, ginger, chili",mushroom,Indian,boil
peas Saute,"saute peas, cabbage, bell pepper, ginger, cumin",peas,Indian,saute
peas Soup,"soup peas, garlic, zucchini, thyme, cream",peas,French,soup
zucchini Saute,"saute zucchini, peas, cauliflower, cabbage, onion, garlic",zucchini,French,saute
broccoli Boil,"boil broccoli, potato, carrot, garlic, ginger, lemongrass",broccoli,Thai,boil
peas Soup,"soup peas, broccoli, eggplant, cilantro, beans",peas,Mexican,soup
carrot Curry,"curry carrot, garlic, olive oil, parmesan",carrot,Italian,curry
zucchini Bake,"bake zucchini, bell pepper, broccoli, mushroom, oregano, mozzarella",zucchini,Italian,bake
carrot Soup,"soup carrot, mushroom, cauliflower, olive oil, tomato",carrot,Mediterranean,soup
broccoli Curry,"curry broccoli, zucchini, coconut milk, chili",broccoli,Thai,curry
tomato Saute,"saute tomato, onion, spinach, peas, thyme, olive oil",tomato,French,saute
spinach Stir Fry,"stir fry spinach, cabbage, mushroom, thyme, cream",spinach,French,stir fry
mushroom Roast,"roast mushroom, bell pepper, turmeric, ginger",mushroom,Indian,roast
onion Stir Fry,"stir fry onion, cauliflower, zucchini, spinach, bacon, onion",onion,American,stir fry
cabbage Soup,"soup cabbage, eggplant, avocado, corn",cabbage,Mexican,soup
zucchini Stir Fry,"stir fry zucchini, broccoli, spinach, basil, tomato sauce",zucchini,Italian,stir fry
bell pepper Bake,"bake bell pepper, broccoli, potato, cauliflower, fish sauce, garlic",bell pepper,Thai,bake
garlic Saute,"saute garlic, bell pepper, cheddar, beans",garlic,Mexican,saute
zucchini Stir Fry,"stir fry zucchini, spinach, broccoli, cauliflower, tomato, lemon",zucchini,Mediterranean,stir fry
garlic Roast,"roast garlic, tomato, carrot, cauliflower, ginger, spring onion",garlic,Chinese,roast
garlic Saute,"saute garlic, carrot, tomato, mushroom, cumin, turmeric",garlic,Indian,saute
spinach Boil,"boil spinach, cauliflower, tomato, cumin, ginger",spinach,Indian,boil
onion Stir Fry,"stir fry onion, peas, bacon, butter",onion,American,stir fry
spinach Stir Fry,"stir fry spinach, eggplant, potato, tomato, feta",spinach,Mediterranean,stir fry
tomato Boil,"boil tomato, potato, peas, cauliflower, olive oil, tomato sauce",tomato,Italian,boil
cabbage Bake,"bake cabbage, broccoli, zucchini, mozzarella, parmesan",cabbage,Italian,bake
cabbage Saute,"saute cabbage, cauliflower, olive oil, garlic",cabbage,French,saute
zucchini Roast,"roast zucchini, peas, cabbage, mushroom, butter, tomato",zucchini,American,roast
garlic Grill,"grill garlic, cauliflower, olive oil, garlic",garlic,Mediterranean,grill
broccoli Boil,"boil broccoli, eggplant, onion, lemongrass, chili",broccoli,Thai,boil
potato Grill,"grill potato, bell pepper, garlic, cabbage, tomato, lemon",potato,Mediterranean,grill
spinach Curry,"curry spinach, cabbage, broccoli, mushroom, garlic, spring onion",spinach,Chinese,curry
carrot Roast,"roast carrot, tomato, zucchini, broccoli, ginger, garlic",carrot,Chinese,roast
potato Bake,"bake potato, broccoli, carrot, olive oil, basil",potato,Italian,bake
spinach Roast,"roast spinach, carrot, zucchini, lemon, olive oil",spinach,Mediterranean,roast
eggplant Stir Fry,"stir fry eggplant, potato, onion, carrot, olive oil, thyme",eggplant,French,stir fry
broccoli Grill,"grill broccoli, onion, spinach, garlic, onion",broccoli,French,grill
spinach Soup,"soup spinach, peas, broccoli, spring onion, garlic",spinach,Chinese,soup
cabbage Stir Fry,"stir fry cabbage, tomato, herbs, olive oil",cabbage,Mediterranean,stir fry
broccoli Boil,"boil broccoli, eggplant, ginger, garlic",broccoli,Chinese,boil
cabbage Soup,"soup cabbage, potato, peas, bacon, tomato",cabbage,American,soup
cabbage Boil,"boil cabbage, bell pepper, potato, chili, fish sauce",cabbage,Thai,boil
onion Roast,"roast onion, zucchini, peas, broccoli, chili, spring onion",onion,Chinese,roast
broccoli Boil,"boil broccoli, tomato, garam masala, ginger",broccoli,Indian,boil
cabbage Curry,"curry cabbage, zucchini, garlic, mushroom, cumin, turmeric",cabbage,Indian,curry
mushroom Bake,"bake mushroom, spinach, carrot, cauliflower, onion, cheddar",mushroom,American,bake
spinach Boil,"boil spinach, eggplant, olive oil, oregano",spinach,Italian,boil
spinach Boil,"boil spinach, eggplant, carrot, cilantro, avocado",spinach,Mexican,boil
tomato Grill,"grill tomato, eggplant, spring onion, sesame oil",tomato,Chinese,grill
garlic Saute,"saute garlic, mushroom, bell pepper, onion, ginger, soy sauce",garlic,Chinese,saute
zucchini Curry,"curry zucchini, tomato, carrot, cabbage, salsa, avocado",zucchini,Mexican,curry
tomato Boil,"boil tomato, mushroom, avocado, salsa",tomato,Mexican,boil
cabbage Soup,"soup cabbage, broccoli, garlic, cilantro, salsa",cabbage,Mexican,soup
mushroom Saute,"saute mushroom, bell pepper, tomato, broccoli, lemongrass, fish sauce",mushroom,Thai,saute
potato Soup,"soup potato, zucchini, ginger, garlic",potato,Thai,soup
cauliflower Bake,"bake cauliflower, peas, olive oil, tomato sauce",cauliflower,Italian,bake
peas Curry,"curry peas, mushroom, soy sauce, ginger",peas,Chinese,curry
